yyyy,mm,tmax,tmin,latitude,longitude
,,degC,degC,-1.25,52.836
2009,12,5.9,*    0.5*,,
2010,1,3.9,-0.4,,
2010,2,5.5,0.4,,
2010,3,10.4,2.4,,
2010,4,14.4,4,,
2010,5,15.9,6.2,,
2010,6,21,10,,
2010,7,22,12.8,,
2010,8,20.2,11.3,,
2010,9,18.4,10,,
2010,10,13.9,6.9,,
2010,11,8,2.5,,
2010,12,2.4,-4,,
2011,1,6.8,1.4,,
2011,2,9.4,4.4,,
2011,3,11.3,2.4,,
2011,4,17.3,6.3,,
2011,5,17,7.8,,
2011,6,19.8,9.2,,
2011,7,21.5,10.3,,
2011,8,21.4,11.6,,
2011,9,20.6,11.5,,
2011,10,16.9,8.9,,
2011,11,12.2,6.7,,
2011,12,8.8,3.4,,
2012,1,8.8,2.4,,
2012,2,7.3,0.8,,
2012,3,13,2.8,,
2012,4,11.4,3.5,,
2012,5,16.5,7.1,,
2012,6,17.5,10.3,,
2012,7,19.9,11.7,,
2012,8,21.4,*   12.3*,,
2012,9,18.1,8.9,,
2012,10,12.8,6,,
2012,11,9.6,3.8,,
2012,12,7.7,2.1,,
2013,1,5.8,1,,
2013,2,5.8,0.5,,
2013,3,5.1,-0.2,,
2013,4,12.4,3.2,,
2013,5,15.6,6,,
2013,6,18.4,9.6,,
2013,7,24.3,12.7,,
2013,8,22.6,12.7,,
2013,9,18.7,9.7,,
2013,10,15.8,9.5,,
2013,11,9.7,2.9,,
2013,12,9.8,3.2,,
2014,1,8.7,3,,
2014,2,9.4,3.7,,
2014,3,12.3,3.2,,
2014,4,14.8,6.2,,
2014,5,16.8,8.2,,
2014,6,20.4,10.4,,
2014,7,24.1,12.4,,
2014,8,20.1,11.1,,
2014,9,20.1,10,,
2014,10,15.8,9.4,,
2014,11,11.2,5,,
2014,12,8.1,2.3,,
2015,1,7.7,1.6,,
2015,2,7.2,1.3,,
2015,3,10.5,2.9,,
2015,4,14.5,3.7,,
2015,5,15.3,6.6,,
2015,6,19.8,8.8,,
2015,7,21.3,11.2,,
2015,8,21.5,12.1,,
2015,9,17.6,7.7,,
2015,10,15,7.4,,
2015,11,12.6,6.5,,
2015,12,12.8,7.4,,
2016,1,8.7,2.8,,
2016,2,8.6,1.9,,
2016,3,9.6,1.9,,
2016,4,12,3.2,,
2016,5,17.1,7.1,,
2016,6,19.3,11.3,,
2016,7,22,12.8,,
2016,8,22.6,12.9,,
2016,9,20.5,12.3,,
2016,10,14.5,7.5,,
2016,11,8.9,3.1,,
2016,12,9.1,2.7,,
2017,1,6.6,1,,
2017,2,8.7,3.6,,
2017,3,12.5,5.2,,
2017,4,13.9,4.6,,
2017,5,17.8,8.6,,
2017,6,20.5,12.2,,
2017,7,21.9,12.4,,
2017,8,20.3,11.7,,
2017,9,17.9,10,,
2017,10,15.7,9.8,,
2017,11,10.3,3.7,,
2017,12,8,2.1,,
2018,1,8.1,2.9,,
2018,2,5.8,0.2,,
2018,3,8.3,1.7,,
2018,4,13.6,6.5,,
2018,5,19.2,8.1,,
2018,6,21.9,10.9,,
2018,7,26.2,12.9,,
2018,8,22.3,12.6,,
2018,9,18.9,9.9,,
2018,10,15,7.2,,
2018,11,11.2,5.8,,
2018,12,9.5,4.3,,
2019,1,7.1,1.8,,
2019,2,11.6,1.7,,
