yyyy,mm,tmax,tmin,latitude,longitude
1984,5,14.9,4.2,,
1984,6,19,8.7,,
1984,7,22.6,9.5,,
1984,8,22.8,11.5,,
1984,9,17.4,9.6,,
1984,10,14.8,6.4,,
1984,11,10.2,4.5,,
1984,12,7.9,0.8,,
1985,1,3.8,-2.6,,
1985,2,5.2,-2.3,,
1985,3,8.5,-0.2,,
1985,4,12.2,3.8,,
1985,5,15,6,,
1985,6,16.8,7.4,,
1985,7,20.1,11.6,,
1985,8,18.2,10.3,,
1985,9,18.8,9.7,,
1985,10,14,6.6,,
1985,11,6.9,-0.1,,
1985,12,8.6,2.6,,
1986,1,6.2,0,,
1986,2,1.8,-3.9,,
1986,3,8.9,0.6,,
1986,4,9.5,1.5,,
1986,5,15.2,6.9,,
1986,6,19.4,9.6,,
1986,7,20.1,11.1,,
1986,8,17,9.1,,
1986,9,16.2,5,,
1986,10,14.4,5.4,,
1986,11,11.3,3.3,,
1986,12,9.3,1.7,,
1987,1,3.4,-2.9,,
1987,2,7,-0.6,,
1987,3,7.3,0.6,,
1987,4,14.9,4.8,,
1987,5,14.4,4.5,,
1987,6,16.4,8.6,,
1987,7,19.6,11,,
1987,8,19.3,11.1,,
1987,9,17.6,8.4,,
1987,10,12.9,5,,
1987,11,8.9,3.5,,
1987,12,7.9,2.4,,
1988,1,8,2,,
1988,2,7.9,1.1,,
1988,3,9.8,2.6,,
1988,4,12,3.6,,
1988,5,16.4,6.4,,
1988,6,18.9,9.2,,
1988,7,17.8,10.8,,
1988,8,19.2,9.8,,
1988,9,16.5,9.2,,
1988,10,13.4,5.5,,
1988,11,9,-0.1,,
1988,12,10.2,4.9,,
1989,1,9.3,2.3,,
1989,2,9.5,1.4,,
1989,3,11.3,2.6,,
1989,4,10.1,1.6,,
1989,5,17.9,7.1,,
1989,6,19.7,8.4,,
1989,7,23.3,12.1,,
1989,8,21.6,10.5,,
1989,9,18.7,8.9,,
1989,10,15,7.6,,
1989,11,9.2,2.4,,
1989,12,6.5,1.1,,
1990,1,9.5,2.9,,
1990,2,10.7,4.1,,
1990,3,12.1,4,,
1990,4,13.2,1.6,,
1990,5,18,6.1,,
1990,6,17.8,9.4,,
1990,7,22.5,10.7,,
1990,8,23.4,12.7,,
1990,9,17.3,8,,
1990,10,14.8,8.4,,
1990,11,9.4,2.9,,
1990,12,6.8,0.9,,
1991,1,5.6,-0.6,,
1991,2,5.3,-2.4,,
1991,3,11.1,3.6,,
1991,4,12.2,3.3,,
1991,5,15.1,6.5,,
1991,6,15.9,7.5,,
1991,7,21.6,12.6,,
1991,8,21.7,11.1,,
1991,9,19.8,8.4,,
